记录ID,站点ID,站点名称,区域,责任部门,责任人,联系电话,状态,校准日期,校准类型,问题原因,时间窗口说明,分组维度说明
REC-M-0003,ST009,丰台区文化中心微站,丰台区,监测一科,郑十一,13898914701,材料缺失,2026-05-02,季度校准,缺少校准材料: 校准证书; 缺少校准材料: 标气记录,"记录日期 2026-05-02 位于时间窗口 [2026-05-01, 2026-05-31] 内，距窗口起点 1 天，距窗口终点 29 天，窗口长度 7 天","分组维度[站点: 丰台区文化中心微站(ST009), 区域: 丰台区, 部门: 监测一科]"
REC-O-0004,ST002,东城区文化馆微站,东城区,监测二科,李四,13814202210,超阈值,2026-05-03,日常巡检,PM10测量值 81.41μg/m³ 超过上限阈值 70.0μg/m³，超出比例 16.3%; 臭氧测量值 179.59μg/m³ 超过上限阈值 100.0μg/m³，超出比例 79.59%,"记录日期 2026-05-03 位于时间窗口 [2026-05-01, 2026-05-31] 内，距窗口起点 2 天，距窗口终点 28 天，窗口长度 7 天","分组维度[站点: 东城区文化馆微站(ST002), 区域: 东城区, 部门: 监测二科]"
REC-O-0005,ST004,西城区少年宫微站,西城区,设备运维科,赵六,13890908594,超阈值,2026-05-03,季度校准,二氧化硫测量值 89.75μg/m³ 超过上限阈值 50.0μg/m³，超出比例 79.5%,"记录日期 2026-05-03 位于时间窗口 [2026-05-01, 2026-05-31] 内，距窗口起点 2 天，距窗口终点 28 天，窗口长度 7 天","分组维度[站点: 西城区少年宫微站(ST004), 区域: 西城区, 部门: 设备运维科]"
REC-X-0002,ST006,朝阳区体育馆微站,朝阳区,监测二科,孙八,13811491323,待审核,2026-05-03,临时校准,PM2.5测量值 59.45μg/m³ 超过上限阈值 35.0μg/m³，超出比例 69.86%; 臭氧测量值 164.99μg/m³ 超过上限阈值 100.0μg/m³，超出比例 64.99%; 缺少校准材料: 维护日志; 缺少校准材料: 标气记录,"记录日期 2026-05-03 位于时间窗口 [2026-05-01, 2026-05-31] 内，距窗口起点 2 天，距窗口终点 28 天，窗口长度 7 天","分组维度[站点: 朝阳区体育馆微站(ST006), 区域: 朝阳区, 部门: 监测二科]"
REC-O-0002,ST004,西城区少年宫微站,西城区,设备运维科,赵六,13890908594,超阈值,2026-05-05,季度校准,PM10测量值 86.78μg/m³ 超过上限阈值 70.0μg/m³，超出比例 23.97%,"记录日期 2026-05-05 位于时间窗口 [2026-05-01, 2026-05-31] 内，距窗口起点 4 天，距窗口终点 26 天，窗口长度 7 天","分组维度[站点: 西城区少年宫微站(ST004), 区域: 西城区, 部门: 设备运维科]"
REC-O-0003,ST002,东城区文化馆微站,东城区,监测二科,李四,13814202210,超阈值,2026-05-07,季度校准,一氧化碳测量值 7.0mg/m³ 超过上限阈值 4.0mg/m³，超出比例 75.0%,"记录日期 2026-05-07 位于时间窗口 [2026-05-01, 2026-05-31] 内，距窗口起点 6 天，距窗口终点 24 天，窗口长度 7 天","分组维度[站点: 东城区文化馆微站(ST002), 区域: 东城区, 部门: 监测二科]"
REC-X-0001,ST001,东城区第一小学微站,东城区,监测一科,张三,13834408939,待审核,2026-05-11,临时校准,湿度测量值 167.71% 超过上限阈值 95.0%，超出比例 76.54%; 缺少校准材料: 校准证书,"记录日期 2026-05-11 位于时间窗口 [2026-05-01, 2026-05-31] 内，距窗口起点 10 天，距窗口终点 20 天，窗口长度 7 天","分组维度[站点: 东城区第一小学微站(ST001), 区域: 东城区, 部门: 监测一科]"
REC-O-0001,ST008,海淀区美术馆微站,海淀区,设备运维科,吴十,13871661752,超阈值,2026-05-14,临时校准,二氧化氮测量值 72.03μg/m³ 超过上限阈值 40.0μg/m³，超出比例 80.08%,"记录日期 2026-05-14 位于时间窗口 [2026-05-01, 2026-05-31] 内，距窗口起点 13 天，距窗口终点 17 天，窗口长度 7 天","分组维度[站点: 海淀区美术馆微站(ST008), 区域: 海淀区, 部门: 设备运维科]"
REC-M-0002,ST007,海淀区科技馆微站,海淀区,质量控制科,周九,13874273986,材料缺失,2026-05-19,日常巡检,缺少校准材料: 校准证书; 缺少校准材料: 流量记录; 缺少校准材料: 零跨记录,"记录日期 2026-05-19 位于时间窗口 [2026-05-01, 2026-05-31] 内，距窗口起点 18 天，距窗口终点 12 天，窗口长度 7 天","分组维度[站点: 海淀区科技馆微站(ST007), 区域: 海淀区, 部门: 质量控制科]"
REC-M-0001,ST001,东城区第一小学微站,东城区,监测一科,张三,13834408939,材料缺失,2026-05-29,年度校准,缺少校准材料: 校准证书; 缺少校准材料: 流量记录; 缺少校准材料: 零跨记录,"记录日期 2026-05-29 位于时间窗口 [2026-05-01, 2026-05-31] 内，距窗口起点 28 天，距窗口终点 2 天，窗口长度 7 天","分组维度[站点: 东城区第一小学微站(ST001), 区域: 东城区, 部门: 监测一科]"
