气瓶编号,气瓶类型,实验室,存放位置,充装介质,上次检验日期,到期日期,责任人,采集来源,采集时间
QP-2026-001,氧气瓶,化学实验室A,1号柜,氧气,2025-06-01,2026-06-01,张三,人工巡检,2026-06-05 09:00:00
QP-2026-002,氮气瓶,化学实验室A,2号柜,氮气,2025-03-15,2026-07-15,张三,人工巡检,2026-06-05 09:05:00
QP-2026-003,氢气瓶,物理实验室B,3号柜,氢气,2025-08-20,2026-08-20,李四,传感器采集,2026-06-05 10:00:00
QP-2026-004,氧气瓶,生物实验室C,1号柜,氧气,2025-09-10,2026-09-10,王五,人工巡检,2026-06-05 11:00:00
QP-2026-005,氩气瓶,化学实验室A,4号柜,氩气,2025-12-01,2026-12-01,张三,传感器采集,2026-06-05 09:30:00
QP-2026-006,氮气瓶,物理实验室B,5号柜,氮气,2026-01-15,2027-01-15,李四,人工巡检,2026-06-05 10:30:00
QP-2026-007,二氧化碳瓶,生物实验室C,2号柜,二氧化碳,2026-02-20,2027-02-20,王五,传感器采集,2026-06-05 11:30:00
QP-2026-008,氧气瓶,化学实验室A,6号柜,氧气,2025-05-01,2026-05-01,张三,人工巡检,2026-06-05 09:15:00
QP-2026-009,氢气瓶,物理实验室B,7号柜,氢气,2024-06-01,2025-06-01,李四,传感器采集,2026-06-05 10:15:00
QP-2026-010,氮气瓶,生物实验室C,3号柜,氮气,2025-10-01,2026-10-01,王五,人工巡检,2026-06-05 11:15:00
QP-2026-001,氧气瓶,化学实验室A,1号柜,氧气,2025-06-01,2026-06-01,张三,人工巡检,2026-06-05 14:00:00
QP-2026-011,乙炔瓶,化学实验室A,8号柜,乙炔,2025-07-10,2026-07-10,张三,传感器采集,2026-06-05 09:45:00
,氩气瓶,物理实验室B,9号柜,氩气,2025-11-01,2026-11-01,李四,人工巡检,2026-06-05 10:45:00
QP-2026-013,氦气瓶,生物实验室C,4号柜,氦气,invalid_date,2026-12-25,王五,传感器采集,2026-06-05 11:45:00
QP-2026-014,氧气瓶,,5号柜,氧气,2025-04-15,2026-04-15,赵六,人工巡检,2026-06-05 12:00:00
QP-2026-015,氮气瓶,化学实验室A,10号柜,氮气,2025-02-28,2026-02-28,张三,传感器采集,2026-06-05 09:20:00
QP-2026-016,氢气瓶,生物实验室C,6号柜,氢气,2026-03-10,2027-03-10,王五,人工巡检,2026-06-05 11:20:00
QP-2026-017,二氧化碳瓶,物理实验室B,8号柜,二氧化碳,2025-06-20,2026-06-20,李四,传感器采集,2026-06-05 10:20:00
QP-2026-018,氧气瓶,化学实验室A,11号柜,氧气,2026-04-01,2027-04-01,张三,人工巡检,2026-06-05 09:55:00
QP-2026-019,氩气瓶,物理实验室B,12号柜,氩气,2025-09-30,2026-09-30,李四,传感器采集,2026-06-05 10:55:00
