姓名,身份证号,联系电话,学校,年级,活动名称,活动开始日期,活动结束日期,保险公司,保单号,保额,保费
冯十三,370101199211057654,13800138011,济南历下小学,二年级,济南泉水文化研学,2025-07-15,2025-07-17,中国平安,PA202507011,250000,25
陈十四,,13900139012,天津和平小学,五年级,,2025-07-18,2025-07-20,中国人寿,CL202507012,150000,20
褚十五,350101199306071234,13700137013,福州鼓楼小学,三年级,福州武夷山野外探险,2025-07-22,2025-07-28,太平洋保险,TP202507013,700000,80
卫十六,230101199402085678,13600136014,哈尔滨南岗小学,四年级,哈尔滨冰雪研学营,2025-07-10,2025-07-15,中国平安,PA202507014,550000,55
蒋十七,340101199008098765,13500135015,合肥蜀山小学,一年级,合肥科技馆实践活动,2025-07-05,2025-07-06,中国人寿,CL202507015,100000,10
沈十八,430101199304102345,,长沙岳麓小学,二年级,长沙橘子洲研学,2025-07-08,2025-07-09,太平洋保险,TP202507016,200000,20
韩十九,360101199112076543,13400134017,南昌东湖小学,五年级,南昌滕王阁文化研学,2025-07-12,2025-07-14,中国平安,PA202507017,300000,30
杨二十,520101199503089876,13300133018,贵阳南明小学,三年级,贵州黄果树瀑布研学,2025-07-25,2025-07-30,中国人寿,CL202507018,650000,70
朱二十一,123456789012345,13200132019,石家庄桥西小学,四年级,石家庄西柏坡红色研学,2025-07-16,2025-07-18,太平洋保险,TP202507019,400000,40
秦二十二,650101199207082345,13100131020,乌鲁木齐天山区小学,六年级,乌鲁木齐沙漠探险研学,2025-08-05,2025-08-12,中国平安,PA202507020,900000,120
