会员号,姓名,手机号,预约日期,状态,预约项目,预约顾问
VIP1001,刘芳,13810010001,2026-06-04,已完成,面部护理,张美丽
VIP1001,刘芳,13810010001,2026-05-08,已完成,全身SPA,张美丽
VIP1002,陈静,13810010002,2026-04-28,已完成,面部护理体验,李晓雯
VIP1002,陈静,13810010002,2026-04-03,爽约,肩颈按摩,李晓雯
VIP1003,杨丽,13810010003,2026-05-31,已完成,美白护理,王雅琴
VIP1003,杨丽,13810010003,2026-05-01,已完成,面部护理,王雅琴
VIP1005,周婷,13810010005,2026-06-09,已完成,面部护理,张美丽
VIP1005,周婷,13810010005,2026-05-13,已完成,全身SPA,张美丽
VIP1006,吴燕,13810010006,2026-04-18,已完成,全身SPA,李晓雯
VIP1006,吴燕,13810010006,2026-03-24,已取消,面部护理,李晓雯
VIP1009,朱晓,13810010009,2026-05-23,已完成,面部护理,张美丽
VIP1010,马玲,13810010010,2026-06-07,已完成,美白护理,李晓雯
