会员号,姓名,手机号,跟进顾问,跟进日期,跟进方式,跟进内容,是否敏感
VIP1001,刘芳,13810010001,张美丽,2026-06-07,微信,客户反馈这次护理效果很好,否
VIP1001,刘芳,13810010001,张美丽,2026-05-10,电话,提醒客户到店，客户说本周有空,否
VIP1002,陈静,13810010002,李晓雯,2026-05-03,电话,客户体验后表示考虑办卡，需跟进,否
VIP1003,杨丽,13810010003,王雅琴,2026-06-02,微信,客户对服务很满意,否
VIP1003,杨丽,13810010003,王雅琴,2026-05-05,到店,客户询问套餐详情,否
VIP1005,周婷,13810010005,张美丽,2026-06-11,微信,确认下次到店时间,否
VIP1005,周婷,13810010005,张美丽,2026-05-16,电话,提醒预约,否
VIP1006,吴燕,13810010006,李晓雯,2026-04-23,电话,客户说最近比较忙,否
VIP1009,朱晓,13810010009,张美丽,2026-05-28,微信,推荐新套餐,否
VIP1010,马玲,13810010010,李晓雯,2026-06-09,电话,客户反馈护理体验很好,否
