流水号,卡号,车牌号,司机,加油时间,油站名称,油站城市,油品,加油量(L),含税金额,不含税金额,税额,税率,票据号,异常类型,异常说明,严重程度,报销状态,排班司机,排班车牌,排班开始,排班结束,里程日期,起始里程,结束里程,当日里程(km),关联重复流水号,关联重复加油时间,关联重复加油量(L)
TXN003,CARD002,京A12346,李四,2025-03-15 14:00,中石化浦东站,上海,0号柴油,200.0,1400.00,1238.94,161.06,13%,INV003,车牌不匹配,车牌 '京A12346' 与系统中 '京A12345' 仅差一位，可能是录入错误,low,可报销,,,,,,,,,,,
TXN001,CARD001,京A12345,张三,2025-03-15 10:00,中石油朝阳站,北京,0号柴油,100.0,700.00,619.47,80.53,13%,INV001,里程不支持,车辆 '京A12345' 当日里程 200.0km，按油耗 30.0L/100km 最多应加油 60.0L，实际加油 100.0L，里程不支持该加油量,high,待解释,,,,,2025-03-15,10000.0,10200.0,200.0,,,
TXN002,CARD001,京A12345,张三,2025-03-15 10:30,中石油朝阳站,北京,0号柴油,100.0,700.00,619.47,80.53,13%,INV002,里程不支持,车辆 '京A12345' 当日里程 200.0km，按油耗 30.0L/100km 最多应加油 60.0L，实际加油 100.0L，里程不支持该加油量,high,待解释,,,,,2025-03-15,10000.0,10200.0,200.0,,,
TXN003,CARD002,京A12346,李四,2025-03-15 14:00,中石化浦东站,上海,0号柴油,200.0,1400.00,1238.94,161.06,13%,INV003,异地加油,车辆 '京A12346' 主要在 '北京' 加油，本次在 '上海' 加油，属异地加油,medium,待解释,张三,京A12345,2025-03-15 08:00,2025-03-15 20:00,,,,,,,
TXN003,CARD002,京A12346,李四,2025-03-15 14:00,中石化浦东站,上海,0号柴油,200.0,1400.00,1238.94,161.06,13%,INV003,里程不支持,车辆 '京A12345' 当日里程 200.0km，按油耗 30.0L/100km 最多应加油 60.0L，实际加油 200.0L，里程不支持该加油量,high,待解释,,,,,2025-03-15,10000.0,10200.0,200.0,,,
TXN004,CARD002,京A12345,李四,2025-03-15 23:30,中石油海淀站,北京,0号柴油,80.0,560.00,495.58,64.42,13%,INV004,里程不支持,车辆 '京A12345' 当日里程 200.0km，按油耗 30.0L/100km 最多应加油 60.0L，实际加油 80.0L，里程不支持该加油量,high,待解释,,,,,2025-03-15,10000.0,10200.0,200.0,,,
TXN004,CARD002,京A12345,李四,2025-03-15 23:30,中石油海淀站,北京,0号柴油,80.0,560.00,495.58,64.42,13%,INV004,夜间跨天加油,车辆 '京A12345' 在 23:30 加油，属于夜间加油且跨天,low,待解释,,,,,,,,,,,
TXN005,CARD003,京B99999,王五,2025-03-15 08:00,中石油丰台站,北京,0号柴油,150.0,1050.00,929.20,120.80,13%,INV005,临时换车,司机 '王五' 排班车辆为 '京B88888'，但加油车辆为 '京B99999'，疑似临时换车,medium,待解释,王五,京B88888,2025-03-15 08:00,2025-03-15 20:00,,,,,,,
TXN005,CARD003,京B99999,王五,2025-03-15 08:00,中石油丰台站,北京,0号柴油,150.0,1050.00,929.20,120.80,13%,INV005,里程不支持,车辆 '京B99999' 当日里程 100.0km，按油耗 30.0L/100km 最多应加油 30.0L，实际加油 150.0L，里程不支持该加油量,high,待解释,,,,,2025-03-15,50000.0,50100.0,100.0,,,
TXN001,CARD001,京A12345,张三,2025-03-15 10:00,中石油朝阳站,北京,0号柴油,100.0,700.00,619.47,80.53,13%,INV001,疑似重复,车辆 '京A12345' 在 2025-03-15 10:00 和 2025-03-15 10:30 于同一油站 '中石油朝阳站' 加相近油量 (100.0L vs 100.0L)，疑似重复报销,high,不可报销,,,,,,,,,TXN002,2025-03-15 10:30,100.0
