案件编号(由法务填写),证据包编号,合同编号,签署人,序号,证据类型,归档文件名,原始文件名,原始路径,文件大小(字节),签署时间,重签序号,备注
AJ2026TEST001,EVI-20260618-HT2025010001-001,HT2025010001,张三,1,电子签合同PDF,EVI-20260618-HT2025010001-001_张三_合同.pdf,HT2025010001_张三_合同_签署版_重签1_2025-01-16_1430.pdf,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/HT2025010001_张三_合同_签署版_重签1_2025-01-16_1430.pdf,128,,0,
AJ2026TEST001,EVI-20260618-HT2025010001-001,HT2025010001,张三,2,页面截图,EVI-20260618-HT2025010001-001_张三_截图.png,HT2025010001_张三_签署完成截图.png,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/HT2025010001_张三_签署完成截图.png,160,,0,
AJ2026TEST001,EVI-20260618-HT2025010001-001,HT2025010001,未识别签署人,3,合同附件,EVI-20260618-HT2025010001-001_未识别签署人_附件.pdf,HT2025010001_附件_补充协议.pdf,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/HT2025010001_附件_补充协议.pdf,155,,0,
AJ2026TEST001,EVI-20260618-HT2025010001-001,HT2025010001,未识别签署人,4,证书链,EVI-20260618-HT2025010001-001_未识别签署人_证书链.cer,HT2025010001_证书链_根证书.cer,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/HT2025010001_证书链_根证书.cer,155,,0,
AJ2026TEST001,EVI-20260618-HT2025010001-001,HT2025010001,未识别签署人,5,证书链,EVI-20260618-HT2025010001-001_未识别签署人_证书链_重签1.crt,HT2025010001_证书链_中间CA.crt,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/HT2025010001_证书链_中间CA.crt,155,,1,
AJ2026TEST001,EVI-20260618-HT2025010001-001,HT2025010001,未识别签署人,6,电子签合同PDF,EVI-20260618-HT2025010001-001_未识别签署人_合同.pdf,HT2025010001_合同_签署版_张三.pdf,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/HT2025010001_合同_签署版_张三.pdf,157,,0,
AJ2026TEST001,EVI-20260618-HT2025010001-001,HT2025010001,未识别签署人,7,电子签合同PDF,EVI-20260618-HT2025010001-001_未识别签署人_合同_重签1.pdf,HT2025010001_合同_签署版_李四.pdf,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/HT2025010001_合同_签署版_李四.pdf,157,,1,
AJ2026TEST001,EVI-20260618-HT2025010001-001,HT2025010001,未识别签署人,8,电子签合同PDF,EVI-20260618-HT2025010001-001_未识别签署人_合同_重签2.pdf,HT2025010001_contract_signed.pdf,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/HT2025010001_contract_signed.pdf,157,,2,
AJ2026TEST001,EVI-20260618-HT2025010001-001,HT2025010001,未识别签署人,9,页面截图,EVI-20260618-HT2025010001-001_未识别签署人_截图.png,HT2025010001_时间戳验证截图.png,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/HT2025010001_时间戳验证截图.png,160,,0,
AJ2026TEST001,EVI-20260618-HT2025010001-001,HT2025010001,未识别签署人,10,签署日志,EVI-20260618-HT2025010001-001_未识别签署人_签署日志.csv,HT2025010001_签署日志_张三_2025-01-15.csv,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/HT2025010001_签署日志_张三_2025-01-15.csv,153,,0,
AJ2026TEST001,EVI-20260618-HT2025010001-001,HT2025010001,未识别签署人,11,签署日志,EVI-20260618-HT2025010001-001_未识别签署人_签署日志_重签1.json,sign_log_HT2025010001_张三.json,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/sign_log_HT2025010001_张三.json,153,,1,
AJ2026TEST001,EVI-20260618-HT2025010001-001,HT2025010001,未识别签署人,12,签署日志,EVI-20260618-HT2025010001-001_未识别签署人_签署日志_重签2.csv,HT2025010001_签署日志_李四_2025-01-15.csv,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/HT2025010001_签署日志_李四_2025-01-15.csv,153,,2,
AJ2026TEST001,EVI-20260618-HT2025010001-001,HT2025010001,未识别签署人,13,签署日志,EVI-20260618-HT2025010001-001_未识别签署人_签署日志_重签3.json,sign_log_HT2025010001_李四.json,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/sign_log_HT2025010001_李四.json,153,,3,
AJ2026TEST001,EVI-20260618-HT2025010001-001,HT2025010001,未识别签署人,14,短信验证记录,EVI-20260618-HT2025010001-001_未识别签署人_短信验证.csv,HT2025010001_短信验证记录_张三.csv,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/HT2025010001_短信验证记录_张三.csv,155,,0,
AJ2026TEST001,EVI-20260618-HT2025010001-001,HT2025010001,未识别签署人,15,短信验证记录,EVI-20260618-HT2025010001-001_未识别签署人_短信验证_重签1.csv,HT2025010001_短信验证记录_李四.csv,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/HT2025010001_短信验证记录_李四.csv,155,,1,
AJ2026TEST001,EVI-20260618-HT2025010001-001,HT2025010001,李四,16,页面截图,EVI-20260618-HT2025010001-001_李四_截图.png,HT2025010001_李四_签署完成截图.png,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/HT2025010001_李四_签署完成截图.png,160,,0,
AJ2026TEST001,EVI-20260618-HT2025010001-001,HT2025010001,李四,17,页面截图,EVI-20260618-HT2025010001-001_李四_截图_重签1.png,HT2025010001_李四_截图_缺少关键字的文件.png,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/HT2025010001_李四_截图_缺少关键字的文件.png,119,,1,
AJ2026TEST001,EVI-20260618-HT2025020003-001,HT2025020003,未识别签署人,18,合同附件,EVI-20260618-HT2025020003-001_未识别签署人_附件.pdf,HT2025020003_附件_补充协议.pdf,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/HT2025020003_附件_补充协议.pdf,155,,0,
AJ2026TEST001,EVI-20260618-HT2025020003-001,HT2025020003,未识别签署人,19,证书链,EVI-20260618-HT2025020003-001_未识别签署人_证书链.cer,HT2025020003_证书链_根证书.cer,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/HT2025020003_证书链_根证书.cer,155,,0,
AJ2026TEST001,EVI-20260618-HT2025020003-001,HT2025020003,未识别签署人,20,证书链,EVI-20260618-HT2025020003-001_未识别签署人_证书链_重签1.crt,HT2025020003_证书链_中间CA.crt,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/HT2025020003_证书链_中间CA.crt,155,,1,
AJ2026TEST001,EVI-20260618-HT2025020003-001,HT2025020003,未识别签署人,21,电子签合同PDF,EVI-20260618-HT2025020003-001_未识别签署人_合同.pdf,HT2025020003_合同_签署版_王五.pdf,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/HT2025020003_合同_签署版_王五.pdf,157,,0,
AJ2026TEST001,EVI-20260618-HT2025020003-001,HT2025020003,未识别签署人,22,电子签合同PDF,EVI-20260618-HT2025020003-001_未识别签署人_合同_重签1.pdf,HT2025020003_contract_signed.pdf,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/HT2025020003_contract_signed.pdf,157,,1,
AJ2026TEST001,EVI-20260618-HT2025020003-001,HT2025020003,未识别签署人,23,页面截图,EVI-20260618-HT2025020003-001_未识别签署人_截图.png,HT2025020003_时间戳验证截图.png,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/HT2025020003_时间戳验证截图.png,160,,0,
AJ2026TEST001,EVI-20260618-HT2025020003-001,HT2025020003,未识别签署人,24,签署日志,EVI-20260618-HT2025020003-001_未识别签署人_签署日志.csv,HT2025020003_签署日志_王五_2025-02-20.csv,/Users/bill/Documents/solo/workspaces/yzz100504/sample_raw_evidence/HT2025020003_签署日志_王五_2025-02-20.csv,153,,0,
