教室,班级,课程,教师,星期,节次,周次,备注
A-101,高一1班,语文,张明,一,1-2,1-16,
A-101,高一1班,英语,王芳,一,5-6,1-16,
A-101,高一1班,历史,周军,三,1-2,1-16,
A-101,高一2班,政治,郑伟,三,1-2,1-16,
A-102,高一2班,语文,张明,一,1-2,1-16,
A-102,高一2班,英语,王芳,二,1-2,1-16,
A-103,高一3班,语文,刘静,一,1-2,1-16,
A-103,高一3班,英语,王芳,一,5-6,1-16,
A-201,高一1班,数学,李华,一,3-4,1-16,
A-201,高一1班,地理,吴霞,三,5-6,1-16,
A-202,高一2班,数学,陈刚,一,3-4,1-16,
A-203,高一3班,数学,李华,一,3-4,1-16,
B-301,高一1班,物理,赵强,二,1-2,1-16,
B-301,高一2班,物理,赵强,二,3-4,1-16,
B-301,高一3班,物理,赵强,三,1-2,1-16,
B-302,高一1班,化学,钱伟,二,3-4,1-16单周,
B-302,高一1班,生物,孙丽,二,3-4,1-16双周,
操场,高一2班,体育,黄健,三,5-6,1-16,
