教师,班级,课程,教室,星期,节次,周次,备注
张明,高一1班,语文,A-101,一,1-2,1-16,
张明,高一2班,语文,A-102,一,1-2,1-16,
李华,高一1班,数学,A-201,一,3-4,1-16,
李华,高一3班,数学,A-203,一,3-4,1-16,
王芳,高一1班,英语,A-101,一,5-6,1-16,
王芳,高一2班,英语,A-102,二,1-2,1-16,
王芳,高一3班,英语,A-103,一,5-6,1-16,
赵强,高一1班,物理,B-301,二,1-2,1-16,
赵强,高一2班,物理,B-301,二,3-4,1-16,
赵强,高一3班,物理,B-301,三,1-2,1-16,
钱伟,高一1班,化学,B-302,二,3-4,1-16单周,
孙丽,高一1班,生物,B-302,二,3-4,1-16双周,
周军,高一1班,历史,A-101,三,1-2,1-16,
郑伟,高一2班,政治,A-101,三,1-2,1-16,
黄健,高一2班,体育,操场,三,5-6,1-16,
刘静,高一3班,语文,A-103,一,1-2,1-16,
陈刚,高一2班,数学,A-202,一,3-4,1-16,
吴霞,高一1班,地理,A-201,三,5-6,1-16,
