班级,课程,教师,教室,星期,节次,周次,备注
高一1班,语文,张明,A-101,一,1-2,1-16,
高一1班,数学,李华,A-201,一,3-4,1-16,
高一1班,英语,王芳,A-101,一,5-6,1-16,
高一1班,物理,赵强,B-301,二,1-2,1-16,
高一1班,化学,钱伟,B-302,二,3-4,1-16单周,
高一1班,生物,孙丽,B-302,二,3-4,1-16双周,
高一1班,历史,周军,A-101,三,1-2,1-16,
高一1班,地理,吴霞,A-201,三,5-6,1-16,
高一2班,语文,张明,A-102,一,1-2,1-16,
高一2班,数学,陈刚,A-202,一,3-4,1-16,
高一2班,英语,王芳,A-102,二,1-2,1-16,
高一2班,物理,赵强,B-301,二,3-4,1-16,
高一2班,政治,郑伟,A-101,三,1-2,1-16,临时调课
高一2班,体育,黄健,操场,三,5-6,1-16,
高一3班,语文,刘静,A-103,一,1-2,1-16,
高一3班,数学,李华,A-203,一,3-4,1-16,
高一3班,英语,王芳,A-103,一,5-6,1-16,
高一3班,物理,赵强,B-301,三,1-2,1-16,
