班级,课程,教师,教室,星期,节次,周次,单双周,连堂,备注,来源
高一1班,语文,张明,A-101,星期一,第1-2节,第1-16周,全周,是,,班级课表.csv;教师课表.csv;教室表.csv
高一1班,数学,李华,A-201,星期一,第3-4节,第1-16周,全周,是,,班级课表.csv;教师课表.csv;教室表.csv
高一1班,英语,王芳,A-101,星期一,第5-6节,第1-16周,全周,是,,班级课表.csv;教师课表.csv;教室表.csv
高一1班,物理,赵强,B-301,星期二,第1-2节,第1-16周,全周,是,,班级课表.csv;教师课表.csv;教室表.csv
高一1班,化学,钱伟,B-302,星期二,第3-4节,第1-16周,单周,是,,班级课表.csv;教师课表.csv;教室表.csv
高一1班,生物,孙丽,B-302,星期二,第3-4节,第1-16周,双周,是,,班级课表.csv;教师课表.csv;教室表.csv
高一1班,历史,周军,A-101,星期三,第1-2节,第1-16周,全周,是,,班级课表.csv;教师课表.csv;教室表.csv
高一1班,地理,吴霞,A-201,星期三,第5-6节,第1-16周,全周,是,,班级课表.csv;教师课表.csv;教室表.csv
高一2班,语文,张明,A-102,星期一,第1-2节,第1-16周,全周,是,,班级课表.csv;教师课表.csv;教室表.csv
高一2班,数学,陈刚,A-202,星期一,第3-4节,第1-16周,全周,是,,班级课表.csv;教师课表.csv;教室表.csv
高一2班,英语,王芳,A-102,星期二,第1-2节,第1-16周,全周,是,,班级课表.csv;教师课表.csv;教室表.csv
高一2班,物理,赵强,B-301,星期二,第3-4节,第1-16周,全周,是,,班级课表.csv;教师课表.csv;教室表.csv
高一2班,政治,郑伟,A-101,星期三,第1-2节,第1-16周,全周,是,临时调课,班级课表.csv;教师课表.csv;教室表.csv
高一2班,体育,黄健,操场,星期三,第5-6节,第1-16周,全周,是,,班级课表.csv;教师课表.csv;教室表.csv
高一3班,语文,刘静,A-103,星期一,第1-2节,第1-16周,全周,是,,班级课表.csv;教师课表.csv;教室表.csv
高一3班,数学,李华,A-203,星期一,第3-4节,第1-16周,全周,是,,班级课表.csv;教师课表.csv;教室表.csv
高一3班,英语,王芳,A-103,星期一,第5-6节,第1-16周,全周,是,,班级课表.csv;教师课表.csv;教室表.csv
高一3班,物理,赵强,B-301,星期三,第1-2节,第1-16周,全周,是,,班级课表.csv;教师课表.csv;教室表.csv
