班级,序号,姓名,请假总人次,病假,事假,公假,其他
高三(3)班,1,刘芳,1,0,1,0,0
高三(3)班,2,吴昊,1,1,0,0,0
高三(3)班,3,周敏,1,0,0,0,1
高三(3)班,4,孙强,2,0,0,0,2
高三(3)班,5,张伟,1,1,0,0,0
高三(3)班,6,日刘芳,1,0,1,0,0
高三(3)班,7,日孙强,1,1,0,0,0
高三(3)班,8,日杨洋,1,1,0,0,0
高三(3)班,9,李明,1,1,0,0,0
高三(3)班,10,李明同学,1,1,0,0,0
高三(3)班,11,杨洋,1,1,0,0,0
高三(3)班,12,杨阳,1,0,1,0,0
高三(3)班,13,林浩,1,1,0,0,0
高三(3)班,14,老师好,3,2,0,0,1
高三(3)班,15,赵雷,1,0,0,0,1
高三(3)班,16,赵雷因为,1,0,1,0,0
高三(3)班,17,郑洁,1,1,0,0,0
高三(3)班,18,陈静,1,0,0,1,0
高三(3)班,19,陈静参加,1,0,1,0,0
高三(3)班,20,马超,1,1,0,0,0
高三(3)班,21,黄雨,1,0,1,0,0
