anomaly_type,wave_no,sku,sku_name,qty_expected,qty_picked,qty_short,qty_supplemented,qty_final_short,picker,warehouse,reviewers,reviewer_count,status,wave_count,qty_over
短拣未补,W2026060801,SKU014,笔记本散热器,22.0,20,2.0,0.0,2.0,张三,A仓-2区,,,,,
短拣未补,W2026060802,SKU013,车载手机支架,9.0,8,1.0,0.0,1.0,钱七,A仓-2区,,,,,
短拣未补,W2026060803,SKU013,车载手机支架,12.0,10,2.0,0.0,2.0,钱七,A仓-1区,,,,,
短拣未补,W2026060805,SKU003,蓝牙音箱便携版,24.0,23,1.0,0.0,1.0,钱七,A仓-1区,,,,,
短拣未补,W2026060805,SKU005,USB-C数据线2米,16.0,15,1.0,0.0,1.0,钱七,B仓-1区,,,,,
复核人不一致,W2026060801,SKU012,手机贴膜高清,,7,,,,李四,,周D、陈A,2.0,,,
复核人不一致,W2026060802,SKU006,手机壳透明款,,12,,,,张三,,周D、林B、黄C,3.0,,,
复核人不一致,W2026060804,SKU007,无线鼠标静音版,,32,,,,张三,,林B、黄C,2.0,,,
复核人不一致,W2026060805,SKU005,USB-C数据线2米,,15,,,,钱七,,周D、林B、陈A,3.0,,,
复核人不一致,W2026060805,SKU011,耳机收纳盒,,29,,,,李四,,周D、陈A、黄C,3.0,,,
复核人不一致,W2026060805,SKU013,车载手机支架,,5,,,,钱七,,陈A、黄C,2.0,,,
SKU跨波次重复,W2026060801,SKU001,无线蓝牙耳机,28.0,28,,0.0,,张三,,,,完整,3.0,
SKU跨波次重复,W2026060803,SKU001,无线蓝牙耳机,27.0,27,,0.0,,王五,,,,完整,3.0,
SKU跨波次重复,W2026060805,SKU001,无线蓝牙耳机,16.0,16,,0.0,,王五,,,,完整,3.0,
SKU跨波次重复,W2026060801,SKU003,蓝牙音箱便携版,6.0,6,,0.0,,李四,,,,完整,3.0,
SKU跨波次重复,W2026060802,SKU003,蓝牙音箱便携版,28.0,28,,0.0,,钱七,,,,完整,3.0,
SKU跨波次重复,W2026060805,SKU003,蓝牙音箱便携版,24.0,23,,0.0,,钱七,,,,短拣未补,3.0,
SKU跨波次重复,W2026060801,SKU004,智能手环运动版,17.0,17,,0.0,,张三,,,,完整,2.0,
SKU跨波次重复,W2026060802,SKU004,智能手环运动版,22.0,22,,0.0,,张三,,,,完整,2.0,
SKU跨波次重复,W2026060801,SKU005,USB-C数据线2米,27.0,27,,0.0,,赵六,,,,完整,3.0,
SKU跨波次重复,W2026060802,SKU005,USB-C数据线2米,8.0,9,,0.0,,王五,,,,超拣,3.0,
SKU跨波次重复,W2026060805,SKU005,USB-C数据线2米,16.0,15,,0.0,,钱七,,,,短拣未补,3.0,
SKU跨波次重复,W2026060802,SKU006,手机壳透明款,12.0,12,,0.0,,张三,,,,完整,3.0,
SKU跨波次重复,W2026060803,SKU006,手机壳透明款,6.0,6,,0.0,,王五,,,,完整,3.0,
SKU跨波次重复,W2026060804,SKU006,手机壳透明款,6.0,6,,0.0,,钱七,,,,完整,3.0,
SKU跨波次重复,W2026060803,SKU008,机械键盘青轴,9.0,9,,0.0,,钱七,,,,完整,3.0,
SKU跨波次重复,W2026060804,SKU008,机械键盘青轴,14.0,14,,0.0,,李四,,,,完整,3.0,
SKU跨波次重复,W2026060805,SKU008,机械键盘青轴,7.0,4,,3.0,,李四,,,,短拣已补,3.0,
SKU跨波次重复,W2026060803,SKU009,平板电脑支架,5.0,5,,0.0,,张三,,,,完整,2.0,
SKU跨波次重复,W2026060805,SKU009,平板电脑支架,15.0,15,,0.0,,王五,,,,完整,2.0,
SKU跨波次重复,W2026060802,SKU010,充电宝20000mAh,21.0,21,,0.0,,张三,,,,完整,2.0,
SKU跨波次重复,W2026060803,SKU010,充电宝20000mAh,8.0,7,,1.0,,李四,,,,短拣已补,2.0,
SKU跨波次重复,W2026060802,SKU011,耳机收纳盒,26.0,26,,0.0,,张三,,,,完整,3.0,
SKU跨波次重复,W2026060804,SKU011,耳机收纳盒,28.0,28,,0.0,,张三,,,,完整,3.0,
SKU跨波次重复,W2026060805,SKU011,耳机收纳盒,29.0,29,,0.0,,李四,,,,完整,3.0,
SKU跨波次重复,W2026060801,SKU012,手机贴膜高清,7.0,7,,0.0,,李四,,,,完整,3.0,
SKU跨波次重复,W2026060804,SKU012,手机贴膜高清,17.0,17,,0.0,,王五,,,,完整,3.0,
SKU跨波次重复,W2026060805,SKU012,手机贴膜高清,13.0,13,,0.0,,张三,,,,完整,3.0,
