借阅单号,借阅人,借阅人学号,书名,ISBN,借出日期,应还日期,日罚金,最高罚金
BRW20260001,张三,20230101,红楼梦,978-7-02-000220-7,2026-04-01,2026-05-01,0.50,50.00
BRW20260002,李四,20230102,三国演义,978-7-02-000221-4,2026-04-10,2026-05-10,0.50,50.00
BRW20260003,王五,20230103,水浒传,978-7-02-000222-1,2026-04-15,2026-05-15,0.50,50.00
BRW20260004,赵六,20230104,西游记,978-7-02-000223-8,2026-05-01,2026-06-01,0.50,50.00
BRW20260005,钱七,20230105,儒林外史,978-7-02-000224-5,2026-03-15,2026-04-15,0.50,50.00
BRW20260006,孙八,20230106,聊斋志异,978-7-02-000225-2,2026-05-10,2026-06-10,0.50,50.00
BRW20260007,周九,20230107,镜花缘,978-7-02-000226-9,2026-01-10,2026-02-10,1.00,80.00
BRW20260008,吴十,20230108,老残游记,978-7-02-000227-6,2026-04-20,2026-05-20,0.50,50.00
BRW20260009,郑十一,20230109,官场现形记,978-7-02-000228-3,2026-05-20,2026-06-20,0.50,50.00
BRW20260010,冯十二,20230110,二十年目睹之怪现状,978-7-02-000229-0,2026-03-01,2026-04-01,0.50,50.00
